"","logFC"
"ARPC4-TTLL3",0.02263082
"ARPC4",-0.25830816
"ARPC5",-0.03961054
"ARPC5L",-0.10173401
"ARPIN",0.01359442
"ARPP19",0.04114149
"ARRB1",-0.34128697
"ARRB2",0.08988493
"ARRDC1-AS1",-0.1255617
"ARRDC1",0.27945262
"ARRDC2",1.08998132
"ARRDC3-AS1",-0.37731647
"ARRDC3",0.0485372
"ARRDC4",0.24899112
"ARSA",0.27021749
"ARSB",-0.39232933
"ARSD",0.75598495
"ARSE",0.71783356
"ARSG",-0.00039494
"ARSJ",0.41692105
"ARSK",0.24369601
"ART4",-1.24227701
"ARV1",-0.54662197
"ARVCF",0.6903876
"AS3MT",3.38856407
"ASAH1",-0.03242358
"ASAP1",0.04687284
"ASAP2",0.12364469
"ASAP3",-0.40183226
"ASB1",0.0011945
"ASB13",0.02130591
"ASB16-AS1",-0.40788098
"ASB3",0.18583877
"ASB6",-0.16115082
"ASB7",0.24044245
"ASB8",0.12423216
"ASB9",-0.04726796
"ASCC1",-0.05272931
"ASCC2",0.17378768
"ASCC3",0.13134194
"ASCL2",7.94010622
"ASF1A",-0.77910213
"ASF1B",-0.32758855
"ASGR1",2.03047771
"ASH1L",0.59599368
"ASH2L",-0.18879191
"ASL",0.92720327
"ASMTL",-0.02784777
"ASNA1",-0.30050947
"ASNS",-1.05271465
"ASNSD1",-0.49713225
"ASPH",1.04795514
"ASPHD2",1.15925206
"ASPM",0.05295624
"ASPSCR1",-0.09294009
"ASRGL1",-0.59599518
"ASS1",-0.90317007
"ASTE1",-0.08795947
"ASUN",0.19421601
"ASXL1",0.15071459
"ASXL2",-0.09491087
"ATAD1",-0.08182248
"ATAD2",-0.12841333
"ATAD2B",-0.27421004
"ATAD3A",-0.58371633
"ATAD3B",-0.28322199
"ATAD3C",-0.38200614
"ATAD5",0.16973952
"ATAT1",-0.08125559
"ATE1",-0.25383792
"ATF1",-0.01009336
"ATF2",0.02751696
"ATF3",0.99264918
"ATF4",-0.14162628
"ATF5",-0.31872049
"ATF6",0.08753874
"ATF6B",0.11818652
"ATF7",0.24205613
"ATF7IP",0.0538258
"ATF7IP2",0.11186103
"ATG10",0.56188351
"ATG101",-0.28099285
"ATG12",0.06508479
"ATG13",0.06635866
"ATG14",0.65281625
"ATG16L1",-0.27303183
"ATG16L2",0.71029853
"ATG2A",0.17705305
"ATG2B",-0.04636379
"ATG3",-0.56377769
"ATG4A",0.02686971
"ATG4B",0.0847663
"ATG4C",-0.18153657
"ATG4D",-0.10337053
"ATG5",0.13062426
"ATG7",-0.01932536
"ATG9A",0.66638129
"ATG9B",4.25670832
"ATHL1",-0.05787829
"ATIC",-0.81676453
"ATL2",-0.31384571
"ATL3",0.17033156
"ATM",0.06713705
"ATMIN",-0.19551249
"ATN1",0.91098093
"ATOH8",-1.54739747
"ATOX1",-0.20527937
"ATP10D",0.00851062
"ATP11A",0.17414452
"ATP11B",0.19448334
"ATP11C",-0.3594783
"ATP13A1",-0.25452728
"ATP13A2",0.22287609
"ATP13A3",-0.32073157
"ATP1A1",-0.65104257
"ATP1B1",-0.4773764
"ATP1B3",-0.49571494
"ATP2A2",0.10154057
"ATP2A3",0.43330175
"ATP2B1",0.83509556
"ATP2B4",0.20645816
"ATP2C1",0.61282401
"ATP5A1",-0.20693673
"ATP5B",-0.22290658
"ATP5C1",-0.14348222
"ATP5D",0.02922437
"ATP5E",0.17677532
"ATP5EP2",0.2614005
"ATP5F1",-0.33558168
"ATP5G1",-0.62106516
